

1000 atoms

2 atom types

0.0   21.54   xlo xhi
0.0   21.54   ylo yhi
0.0   21.54   zlo zhi

Masses

1  1.0
2  1.0

Atoms

	1	2   0.000000  0.000000  0.000000
	2	2   2.154435  0.000000  0.000000
	3	2   4.308869  0.000000  0.000000
	4	2   6.463304  0.000000  0.000000
	5	2   8.617739  0.000000  0.000000
	6	2   10.772173  0.000000  0.000000
	7	2   12.926608  0.000000  0.000000
	8	2   15.081043  0.000000  0.000000
	9	2   17.235478  0.000000  0.000000
	10	2   19.389912  0.000000  0.000000
	11	2   0.000000  2.154435  0.000000
	12	2   2.154435  2.154435  0.000000
	13	2   4.308869  2.154435  0.000000
	14	2   6.463304  2.154435  0.000000
	15	2   8.617739  2.154435  0.000000
	16	2   10.772173  2.154435  0.000000
	17	2   12.926608  2.154435  0.000000
	18	2   15.081043  2.154435  0.000000
	19	2   17.235478  2.154435  0.000000
	20	2   19.389912  2.154435  0.000000
	21	2   0.000000  4.308869  0.000000
	22	2   2.154435  4.308869  0.000000
	23	2   4.308869  4.308869  0.000000
	24	2   6.463304  4.308869  0.000000
	25	2   8.617739  4.308869  0.000000
	26	2   10.772173  4.308869  0.000000
	27	2   12.926608  4.308869  0.000000
	28	2   15.081043  4.308869  0.000000
	29	2   17.235478  4.308869  0.000000
	30	2   19.389912  4.308869  0.000000
	31	1   0.000000  6.463304  0.000000
	32	1   2.154435  6.463304  0.000000
	33	1   4.308869  6.463304  0.000000
	34	1   6.463304  6.463304  0.000000
	35	1   8.617739  6.463304  0.000000
	36	1   10.772173  6.463304  0.000000
	37	1   12.926608  6.463304  0.000000
	38	1   15.081043  6.463304  0.000000
	39	1   17.235478  6.463304  0.000000
	40	1   19.389912  6.463304  0.000000
	41	1   0.000000  8.617739  0.000000
	42	1   2.154435  8.617739  0.000000
	43	1   4.308869  8.617739  0.000000
	44	1   6.463304  8.617739  0.000000
	45	1   8.617739  8.617739  0.000000
	46	1   10.772173  8.617739  0.000000
	47	1   12.926608  8.617739  0.000000
	48	1   15.081043  8.617739  0.000000
	49	1   17.235478  8.617739  0.000000
	50	1   19.389912  8.617739  0.000000
	51	1   0.000000  10.772173  0.000000
	52	1   2.154435  10.772173  0.000000
	53	1   4.308869  10.772173  0.000000
	54	1   6.463304  10.772173  0.000000
	55	1   8.617739  10.772173  0.000000
	56	1   10.772173  10.772173  0.000000
	57	1   12.926608  10.772173  0.000000
	58	1   15.081043  10.772173  0.000000
	59	1   17.235478  10.772173  0.000000
	60	1   19.389912  10.772173  0.000000
	61	1   0.000000  12.926608  0.000000
	62	1   2.154435  12.926608  0.000000
	63	1   4.308869  12.926608  0.000000
	64	1   6.463304  12.926608  0.000000
	65	1   8.617739  12.926608  0.000000
